text
Когда ты писал
Если б я
Главное же затруднение
Сумму же эту
Мы тебя тогда
"Действительно, господин Свидригайлов"
"Короче, несмотря на"
"Представь себе, что"
"Может быть, он"
"А может быть,"
Но наконец не
Оставить сейчас место
Да и для
Были тут и
"Конечно, ты знаешь"
Дунечка многое может
Она даже мне
Марфа Петровна нечаянно
Произошла у них
А тут поднялся
"Подумай теперь, что"
Сама я была
"Пожалуй, еще себя"
Целый месяц у
Все-то знакомые от
Всему этому причиной
Она у нас
"Я заболела, Дунечка"
"Но, по милосердию"
В этом письме
"Одним словом, милый"
"Кроме того, в"
Марфа Петровна была
"Затем, прямо из"
В то же
"Мало того, всем"
Таким образом ей
"Мое мнение, что"
По крайней мере
Дуню тотчас же
Вообще же все
Все это способствовало
"Узнай, милый Родя,"
И хотя дело
Он уже надворный
"Начал с того,"
Человек он деловой
"Разумеется, мы сначала"
Человек он благонадежный
"Правда, ему уже"
Да и предупреждаю
Говорю это на
Да и кроме
"А Петр Петрович,"
В первый же
Многое и еще
"Я, разумеется, мало"
"Это девушка твердая,"
"Конечно, ни с"
К тому же
А что там
"Он, например, и"
"Например, при втором"
"Прибавлю, что он"
Но Дуня даже
"Пред тем, как"
"Я уже упомянула,"
У него там
Он давно уже
В Петербург же
"Таким образом, милый"
Это была бы
Мы уже рискнули
"Она теперь, уже"
"Я, Родя, вполне"
"Уж конечно, мы"
Он человек положительный
Равным образом ни
"Во-вторых же, потому"
Когда Дуня говорила
"Знаешь что, бесценный"
"Я уверена вполне,"
Я замечала в
"Если возможно, то"
"Уже наверно решено,"
Все зависит от
"Ему хочется, по"
Дуня вся в
Она теперь ничего
"Но, несмотря на"
"Теперь, как узнали"
Прислала бы и
"Мы, впрочем, уже"
До железной дороги
"Так что, может"
Но довольно; два
"А теперь, бесценный"
"Люби Дуню, свою"
Молишься ли ты
"Боюсь я, в"
"Вспомни, милый, как"
Почти все время
Он прилег головой
Наконец ему стало
Он схватил шляпу
Путь же взял
"Но относительно главнейшего,"
Главнейшая суть дела
Потому что это
"И еще извиняются,"
"Думают, что теперь"
Отговорка-то какая капитальная:
"Нет, Дунечка, все"
"…А любопытно, однако"
Просто ли для
Любопытно бы разъяснить
Все ли слова
"Вероятно, оно так"
"Кого не взбесит,"
И что это
Злоба накипала в
"Гм, это правда,"
"Главное, человек деловой"
"А онито обе,"
Только ведь девяносто
И благоразумно: по
Ведь это ваша
"Конечно, тут у"
Да и тут
Ведь это будущий
С тремя целковыми
Ведь она уже
"Милый-то человек, наверно,"
"Что ж она,"
Косыночки она там
Да ведь косыночки
"Значит, все-таки на"
И так-то вот
"А любопытно, есть"
…Ну да уж
Ведь вам уже
Это я два
Уж когда господина
А теперь вот
"Ну да положим,"
Ведь она хлеб
"Нет, Дуня не"
Тяжело за двести
И будь даже
Дело ясное: для
Вот в чем
"О, тут мы,"
"Мало того, свою"
"Ясно, что тут"
"Ну как же-с,"
Ну как для
Да чего: тут
"Сонечка, Сонечка Мармеладова,"
"Знаете ли вы,"
"А что, если,"
А и выходит
"Понимаете ли вы,"
"Скорби-то сколько, грусти,"
Ведь она уж
Что ты им
"Всю судьбу свою,"
Ведь тут надо
Ведь деньги-то им
"От Свидригайловых-то, от"
Да в десять-то
"Ну, придумай-ка, что"
Так мучил он
"Впрочем, все эти"
Давным-давно как зародилась
"Ясно, что теперь"
Во что бы
вскричал он вдруг
"Понимаете ли, понимаете"
вдруг припомнился ему
"Он ведь знал,"
Но разница была
"Ему хотелось сесть,"
Он пошел сколько
"Выглядывая скамейку, он"
Ему уже много
Но в идущей
Ему вдруг захотелось
"Во-первых, она, должно"
На ней было
Маленькая косыночка была
"К довершению, девушка"
Он сошелся с
"Вглядевшись в нее,"
Пред ним было
"Девушка, кажется, очень"
Раскольников не сел
Этот бульвар и
И однако ж
"Он тоже, вероятно,"
Он бросал на
Господин этот был
Раскольников ужасно разозлился;
"крикнул он, сжимая"
"строго спросил господин,"
Раскольников бросился на
Но в эту
строго обратился он
Это было бравое
"Я бывший студент,"
"Вот, смотрите, совсем"
Вернее же всего
"Посмотрите, как разорвано"
А вот теперь
"Я сам видел,"
Вон он теперь
Служивый нагнулся над
"Послушайте, сударыня, "
Девушка открыла усталые
"Послушайте,  сказал"
"начал опять городовой,"
обратился он к
"Странен, верно, и"
Вон и платьице
"А пожалуй, что"
По видуто как
"Может, и у"
Тот услышал и
Не дать-то им
Вот кабы они
Та вдруг совсем
Франт пошел за
"Не беспокойтесь, не"
В эту минуту
"проговорил служивый, махнув"
Двадцать копеек мои
Ну пусть и
Мысли его были
Он бы хотел
"Очнется, поплачет, потом"
"Такой процент, говорят,"
"Славные, право, у"
Вот если бы
"Как письмо прочел,"
И каким образом
"Замечательно, что Раскольников,"
Ни в общих
"Занимался он усиленно,"
Был он очень
Иным товарищам его
С Разумихиным же
"Впрочем, с Разумихиным"
"Однажды ночью, в"
Пить он мог
Разумихин был еще
Он мог квартировать
Однажды он целую
В настоящее время
Раскольников не был
"Раз как-то, месяца"
"V Действительно, я"
"Положим, уроки достанет,"
"Право, смешно, что"
"Что ж, неужели"
Он думал и
"Гм… к Разумихину,"
Он бросил скамейку
Нервная дрожь его
Как бы с
"Когда же опять,"
Таким образом прошел
Зелень и свежесть
Но скоро и
Иногда он останавливался
Встречались ему тоже
Раз он остановился
"Двадцать городовому, три"
Он вспомнил об
Он пошел домой;
В болезненном состоянии
Слагается иногда картина
"Такие сны, болезненные"
"Время серенькое, день"
"Городок стоит открыто,"
В нескольких шагах
Там всегда была
"Возле кабака дорога,"
"Идет она, извиваясь,"
Среди кладбища каменная
При этом всегда
Он любил эту
"Подле бабушкиной могилы,"
И вот снится
Особенное обстоятельство привлекает
"Все пьяны, все"
Это одна из
Он всегда любил
"Но теперь, странное"
Но вот вдруг
"кричит один, еще"
"опять кричит Миколка,"
Гнедой даве с
"Она в кумачах,"
Кругом в толпе
Два парня в
", клячонка дергает"
Смех в телеге
и хочет увести
"Видано ль, чтобы"
Вдруг хохот раздается
Два парня из
…Он бежит подле
Один из секущих
Одна баба берет
"Он бросает кнут,"
А Миколка намахивается
Она вся оседает
"неистово вскрикивает Миколка,"
кричит он и
Удар рухнул; кобыленка
"Несколько парней, тоже"
С криком пробивается
В этот миг
"всхлипывает он, но"
"воскликнул он, "
"продолжал он, восклоняясь"
"Ведь еще вчера,"
"Ведь вчера же,"
"Пусть, пусть даже"
"Чего же, чего"
"Он был бледен,"
"Он почувствовал, что"
"Впоследствии, когда он"
Именно: он никак
"Конечно, десятки раз"
"Но зачем же,"
Все торговцы на
Около харчевен в
Раскольников преимущественно любил
Тут лохмотья его
У самого Кного
Они тоже поднимались
Знакомая эта была
"Это была высокая,"
Она стояла в
Когда Раскольников вдруг
"Вы бы, Лизавета"
Да вы на
"В семом часу,"
"Хорошо, приду, "
"Он проходил тихо,"
Первоначальное изумление его
"Он узнал, он"
Ни о чем
"Конечно, если бы"
"Во всяком случае,"
VI Впоследствии Раскольникову
Дело было самое
Приезжее и забедневшее
Так как на
Говорила же вообще
Следы суеверия оставались
И во всем
Еще зимой один
Долго он не
Месяца полтора назад
Он решил отнести
Странная мысль наклевывалась
Почти рядом с
"Вдруг он услышал,"
Это уже одно
"Конечно, случайность, но"
"Богата как жид,"
Только стерва ужасная…
"Дает вчетверо меньше,"
Студент разболтался и
Студент рассказывал о
Раскольников не проронил
Она работала на
Никакого заказу и
Старуха же уже
Была же Лизавета
"Главное же, чему"
"Да, смуглая такая,"
"Тихая такая, кроткая,"
Я бы эту
"Позволь, я тебе"
"Я сейчас, конечно,"
"Ну, понимаю, "
"С другой стороны,"
"Сто, тысячу добрых"
"Сотни, тысячи, может"
Убей ее и
За одну жизнь
Да и что
Не более как
Она чужую жизнь
"Конечно, она недостойна"
"Эх, брат, да"
"Говорят: долг, совесть,"
Вот ты теперь
Я для справедливости…
"Конечно, все это"
Но почему именно
И почему именно
"Этот ничтожный, трактирный"
"Возвратясь с Сенной,"
Между тем стемнело;
Он никогда не
Наконец он почувствовал
"Скоро крепкий, свинцовый"
"Настасья, вошедшая к"
Голова его болела;
Ты хошь бы
Она постояла еще
Через несколько минут
"Он съел немного,"
"Пообедав, протянулся он"
"Ему все грезилось,"
"Караван отдыхает, смирно"
Он же все
"И прохладно так,"
"Он вздрогнул, очнулся,"
На цыпочках подошел
Но на лестнице
Он напрягал все
Он полез под
Эту тесьму сложил
Руки его тряслись
Что же касается
"Теперь же, с"
Запустив же руку
"Покончив с этим,"
"Этот заклад был,"
Эту дощечку он
Потом уже он
"Сложив обе дощечки,"
"Это для того,"
Железная же пластинка
Только что он
Он бросился к
У него был
Заметим кстати одну
Они имели одно
Несмотря на всю
И если бы
Что же касается
"Дело в том,"
"Итак, стоило только"
Но представлялись и
А ну как
Но это еще
Он думал о
Никак он не
и тотчас не
"А между тем,"
Но в последнем
"Последний же день,"
Точно он попал
"Сначала  впрочем,"
Он пришел мало-помалу
"По убеждению его,"
Вопрос же: болезнь
Дойдя до таких
Стоит только сохранить
Окончательным своим решениям
Одно ничтожнейшее обстоятельство
Поровнявшись с хозяйкиною
Но каково же
"Увидев его, она"
И с чего
Ему хотелось смеяться
"Идти на улицу,"
"пробормотал он, бесцельно"
"Из каморки дворника,"
На цыпочках подошел
"Где-нибудь близко, впрочем,"
Он бросился стремглав
Он шел дорогой
Мало глядел он
"Заглянув случайно, одним"
Надо было и
Занимали его в
Проходя мимо Юсупова
Мало-помалу он перешел
Тут заинтересовало его
Тут ему вспомнились
"Так, верно, те,"
"Мало того, даже,"
"Там, по ту"
"Много окон, выходивших"
Он уже был
Но и лестница
Во втором этаже
"Конечно, было бы"
Но вот и
"В третьем этаже,"
Но он не
Потом еще раз
Она недоверчива… Не
"Напротив, как нарочно,"
Он отчасти знал
Чувства ли его
Кто-то неприметно стоял
Вспоминая об этом
"VII Дверь, как"
"Опасаясь, что старуха"
"Увидя это, она"
"Видя же, что"
Та отскочила в
"Здравствуйте, Алена Ивановна,"
"Помилуйте, Алена Ивановна…"
Старуха взглянула было
Прошло с минуту;
"Он чувствовал, что"
"Старуха опомнилась, и"
Поневоле станешь бледный…
"спросила она, еще"
Стараясь развязать снурок
Он расстегнул пальто
Руки его были
"Он боялся, что"
Он вынул топор
Но как только
"Светлые с проседью,"
Удар пришелся в
"Она вскрикнула, но"
Тут он изо
"Кровь хлынула, как"
"Он отступил, дал"
"Глаза были вытаращены,"
Он положил топор
Он был в
"Он вспомнил потом,"
У другой стены
Странное дело: только
Он даже усмехнулся
"Ему вдруг почудилось,"
"Бросив ключи, и"
Нагнувшись и рассматривая
Он было хотел
Вдруг он заметил
Он попробовал было
В нетерпении он
На снурке были
Кошелек был очень
"Он спешил ужасно,"
Не то чтобы
Вдруг он припомнил
Он бросил комод
Так и есть:
"Сверху, под белою"
Прежде всего он
"Красное, ну а"
Но только что
"Действительно, между тряпьем"
Иные были в
"Нимало не медля,"
Вдруг явственно послышался
Он сидел на
Среди комнаты стояла
"Увидав его выбежавшего,"
Он бросился на
И до того
Она только чуть-чуть
Удар пришелся прямо
Раскольников совсем было
Страх охватывал его
И если бы
Отвращение особенно поднималось
Ни за что
"Но какая-то рассеянность,"
"Впрочем, заглянув на"
Топор он опустил
"Отмыв их, он"
Затем все оттер
"Затем, сколько позволял"
"Снаружи, с первого"
"Он знал, впрочем,"
"Мучительная, темная мысль"
Но здесь ожидал
"Он стоял, смотрел"
"Надо идти, идти…"
"Где-то далеко, внизу,"
Он уже хотел
Он уже ступил
Эти шаги послышались
Вот уж он
И вдруг показалось
"И наконец, когда"
Они стояли теперь
"Толстый и большой,"
Как только звякнул
Незнакомец звякнул еще
В ужасе смотрел
Он было вздумал
"промелькнуло в нем,"
"И снова, остервенясь,"
В самую эту
звонко и весело
"Судя по голосу,"
"А третьего-то дня,"
Круглый год сидит
Гм… черт… спросить…
закричал вдруг молодой
Если бы все
А чтобы затвориться
Тут что-нибудь да
А вот что:
горячо вскричал молодой
"Кох остался, пошевелил"
Потом пыхтя нагнулся
Когда стучались и
Порой хотелось ему
"Однако он, черт…"
закричал он вдруг
"Раскольников снял запор,"
Он уже сошел
С криком вырвался
Крик закончился взвизгом;
Но в то
В полном отчаянии
"Остановят, все пропало,"
Они уже сходились;
В нескольких ступеньках
Полы только что
В одно мгновение
Затем повернули вверх
Он очень хорошо
А между тем
Не скользнуть ли
Наконец вот и
Но все эти
"Он помнил, однако,"
Несмотря на то
Не в полной
А между тем
"Конечно, он уже"
Дверь в дворницкую
Но до того
Но дворника опять
"Никого, ни единой"
Если бы кто
Клочки и отрывки
"Случалось, что он"
Он лежал на
До него резко
вот уж и
Страшный холод обхватил
Теперь же вдруг
Он отворил дверь
С изумлением оглядывал
"Свету было довольно,"
Но так нельзя
"Он перевертел все,"
Но не было
"Вдруг он вспомнил,"
"Выбрав все, даже"
"Там, в самом"
"радостно думал он,"
Вдруг он весь
"Правда, он и"
В изнеможении сел
Машинально потащил он
Не более как
Он сдернул петлю
Куски рваной холстины
"повторял он, стоя"
"Уверенность, что все,"
"Действительно, обрезки бахромы,"
Тут пришла ему
"Так, стало быть,"
Мигом выворотил он
"Стало быть, не"
подумал он с
В эту минуту
Весь кончик носка
"повторял он, опять"
Но вместо того
"И долго, несколько"
Он порывался с
"кричала Настасья, стуча"
Вся его комната
Тот молча протянул
Он внимательно посмотрел
Да уж не
Он взглянул: в
"Потом уже, размышляя"
Ишь лохмотьев каких
Мигом сунул он
Хоть и очень
Принесу; осталось… 
Тотчас же бросился
"Настасья, стало быть,"
Тогда с трепетом
Это была обыкновенная
Он было бросился
Но только что
"Сдернул, но, сообразив,"
"Все это условно,"
Это они хотят
"Скверно то, что"
Но такое отчаяние
На улице опять
"Опять пыль, кирпич"
Солнце ярко блеснуло
Дойдя до поворота
"Если спросят, я,"
Она только что
"Войдя под ворота,"
"Войду, стану на"
Все кухни всех
Вверх и вниз
Здесь тоже духота
"Переждав немного, он"
Во второй комнате
Это был какой-то
От этого ничего
"Ступайте туда, к"
Он вошел в
"Одна в трауре,"
"Другая же дама,"
Тот мельком взглянул
Мало-помалу он стал
"Какая-нибудь глупость, какая-нибудь"
"Гм… жаль, что"
Он старался прицепиться
"Письмоводитель сильно, впрочем,"
Это был очень
С одним бывшим
"Луиза Ивановна, вы"
"Ich danke, сказала"
Светло-голубое с белою
"Но дама, очевидно,"
"Вдруг, с некоторым"
Пышная дама так
"Это был поручик,"
Он искоса и
"крикнул он, вероятно"
Это по делу
Мне принесли всего
Я и не
Помощник до того
Да и вы
"Проговорив это, Раскольников"
прокричал он наконец
Но Раскольников уже
Вы должны или
А заимодавец волен
А к нам
Письмоводитель смотрел на
"Но какое, какое"
Стоило ли это
"Он стоял, читал,"
"Торжество самосохранения, спасение"
Это была минута
"Поручик, еще весь"
"А ты, такая-сякая"
Ведь я уж
Даже бумага выпала
Он слушал с
начал было письмоводитель
Что же касается
Она семенила на
Никакой шум и
А они совсем
И тут как
Поручик быстра взглянул
…Так вот же
Если у тебя
"Так литератор, сочинитель,"
Третьего дня в
На пароходе тоже
"Вот они каковы,"
Луиза Ивановна с
Луиза Ивановна поспешила
любезно и дружески
с благородною небрежностию
"), переходя с"
"Сами п-п-подличают, а"
"Вы чем-нибудь, верно,"
Его и в
"воскликнул Илья Петрович,"
Раскольникову вдруг захотелось
"Да помилуйте, капитан,"
Я бедный и
"Я бывший студент,"
Хозяйка моя добрая
Теперь она с
Но это ведь
"Но позвольте, позвольте"
Позвольте-с: она именно
Все эти чувствительные
Ну уж ты…
"Раскольникову показалось, что"
Если б он
"Напротив, теперь, если"
"Мрачное ощущение мучительного,"
Не низость его
"О, какое ему"
Если б его
С ним совершалось
Не то чтоб
И что всего
Письмоводитель стал диктовать
Да вы писать
"Раскольников отдал перо,"
Странная мысль пришла
Позыв был до
Но вдруг он
"Во-первых, все противоречит;"
"И, наконец, студента"
"Ну, станет такой"
"А Кох, так"
Теперь сообразите… 
В том и
А он именно
Кох обеими руками
Дом  Ноев
Раскольников поднял свою
Они и как
крикнул Илья Петрович
"Он, конечно, тоже"
"Раскольников отвечал резко,"
Никодим Фомич хотел
Он еще мог
Он бросился в
Всего оказалось восемь
Еще что-то в
Затем вышел из
Он шел скоро
"Боялся он погони,"
"Надо было управиться,"
Это было уже
Так порешил он
Он бродил по
Но и подумать
Наконец пришло ему
Там и людей
И удивился он
И потому только
Он пошел к
Не лучше ли
И хотя он
Но и на
"Справа, тотчас же"
"Слева, параллельно глухой"
Это было глухое
"Далее, в углублении"
"Тут, верно, было"
Не замечая никого
"), а над"
"Стало быть, уж"
"Оглядевшись еще раз,"
За этою стеной
Он нагнулся к
Под камнем образовалось
Кошелек пришелся на
Затем он снова
"Опять сильная, едва"
"Да, он помнил"
Но когда он
Показалось ему вдруг
Все мысли его
Как мерзко лебезил
Вдруг он остановился;
Да ведь ты
"Он, впрочем, это"
Это оттого что
Ему ужасно хотелось
"Одно новое, непреодолимое"
Просто наплевал бы
Опять та же
Все равно; сказал
Разумихин сидел у
"закричал он, осматривая"
"Да ты, брат,"
и когда тот
"Не надо, "
"Подымаясь к Разумихину,"
"Теперь же, в"
Он чуть не
"Ну, слушай: я"
Видишь ли: уроков
Он этакие изданьица
Теперь в направление
Вот тут два
Херувимов это по
За перевод мне
"Кончим это, начнем"
"Коли хочешь, так"
Да вот что
"Напротив, только что"
"Во-первых, я в"
Ну а кто
Раскольников молча взял
Но дойдя уже
Не надо… переводов…
На Николаевском мосту
Его плотно хлестнул
Удар кнута так
"Известно, пьяным представится"
"Тем промышляют,почтенный, тем"
Он посмотрел: пожилая
По платью и
Он зажал двугривенный
Небо было без
"Купол собора, который"
Боль от кнута
Он стоял и
Когда он ходил
Необъяснимым холодом веяло
Теперь вдруг резко
Уж одно то
Даже чуть не
"В какой-то глубине,"
"Он разжал руку,"
"Ему показалось, что"
Он пришел к
Раздевшись и весь
"Таких неестественных звуков,"
"Она выла, визжала"
Голос бившего стал
Вдруг Раскольников затрепетал
Он бьет ее
"Слышно было, как"
"Но, стало быть,"
Он хотел было
"Страх, как лед,"
Хозяйка стонала и
"Да, вот уходит"
Раскольников в бессилии
Вдруг яркий свет
Посмотрев на него
"Сейчас… полчаса назад,"
Никто хозяйку не
Я долго слушал…
Это когда ей
Настасья все стояла
Она сошла вниз
"Помнил только, как"
"Он, однако ж,"
"То казалось ему,"
То вдруг он
Настасью он часто
Иной раз казалось
Но об том
Тогда он порывался
В этот час
У постели его
Это был молодой
"Догадавшись, что он"
Она и всегда
Но в эту
"Экая морская каюта,"
"Я вот, изволите"
А я в
Извольте садиться на
"Это ты, брат,"
Осмотрел тебя внимательно
"Нервный вздор какой-то,"
"Ну-с, так я"
"Заметь себе, Родя,"
Это Алексей Семенович
А вот через
В случае если
Они самые и
Вот в ожидании-то
"Ну, так как"
Я тебя попридержу;
"Не беспокойтесь, пожалуйста,"
"С ним, впрочем,"
Вы человек рассудительный…
Раскольников смотрел на
"Кажется, я не"
К супу явились
"Не худо, Настасьюшка,"
Тем временем Разумихин
Раскольников с жадностию
Но поднеся несколько
Катай скорей и
он пересел на
"Я, брат Родя,"
Он тотчас же
По-прежнему обхватил он
Раскольников молчал и
Но по какой-то
"Впрочем, он не"
Под головами его
"Надо, чтобы Пашенька"
"спросила Настасья, держа"
Когда ты таким
"Эту-то, теперешнюю квартиру"
"Искал, искал я"
Рассердился да и
Еще бы; а
Только как я
А ведь я
"Ну так вот,"
"Я, брат, никак"
"Раскольников молчал, хотя"
"И очень даже,"
"вскрикнула опять Настасья,"
"Скверно, брат, то,"
"Ну, да об"
"Или, например, этот"
Но кстати о
Да…  процедил
"вскричал Разумихин, видимо,"
"Я, брат, отчасти"
"Впрочем, клянусь тебе,"
"Ну, да все"
К тому же
Только вся штука
Пашенька без него
"Ответ: есть, потому"
"Я, брат, теперь"
Вот и уступила
Хотел было я
"Позвали Чебарова, десять"
Разумихин выложил на
"Вижу, брат, "
Думал было тебя
"спросил Раскольников, тоже"
"Меня, и даже"
Раскольников быстро оборотился
Познакомиться с тобой
"Славный, брат, он"
Известно о чем
А вот о
"Да кроме того,"
Заметов сам по
Тогда только и
Вот тут тридцать
Тем временем дам
"А вы, Настенька,"
проговорила ему вслед
Очень уж ей
Едва только затворилась
"Со жгучим, судорожным"
